Day,Time,Refrigerator,TV,Microwave,Washing_Machine,Dishwasher,Desktop
10.10.2023,20:00,1,1,1,0,1,1
10.10.2023,21:00,1,1,0,0,1,1
11.10.2023,9:00,1,0,0,0,0,1
11.10.2023,10:00,1,0,1,0,0,1
11.10.2023,11:00,1,0,0,0,1,1
11.10.2023,12:00,1,0,0,0,0,1
11.10.2023,13:00,1,0,0,0,0,1
11.10.2023,14:00,1,0,0,0,0,1
11.10.2023,15:00,1,0,0,0,0,0
11.10.2023,16:00,1,0,0,0,0,0
11.10.2023,17:00,1,0,0,0,0,0
11.10.2023,18:00,1,0,0,0,0,0
11.10.2023,19:00,1,0,1,0,0,0
11.10.2023,20:00,1,1,1,0,1,0
11.10.2023,21:00,1,1,0,0,1,0
12.10.2023,9:00,1,0,0,0,0,0
12.10.2023,10:00,1,0,1,0,0,0
12.10.2023,11:00,1,0,0,0,1,0
12.10.2023,12:00,1,0,0,0,0,0
12.10.2023,13:00,1,0,0,0,0,0
12.10.2023,14:00,1,0,0,0,0,0
12.10.2023,15:00,1,0,0,0,0,0
12.10.2023,16:00,1,0,0,0,0,0
12.10.2023,17:00,1,0,0,0,0,0
12.10.2023,18:00,1,0,0,0,0,1
12.10.2023,19:00,1,0,1,0,0,1
12.10.2023,20:00,1,1,1,0,1,1
12.10.2023,21:00,1,1,0,0,1,1
13.10.2023,9:00,1,0,0,0,0,1
13.10.2023,10:00,1,0,1,0,0,0
13.10.2023,11:00,1,0,0,0,1,0
13.10.2023,12:00,1,0,1,0,0,0
13.10.2023,13:00,1,0,1,0,1,0
13.10.2023,14:00,1,0,0,0,1,0
13.10.2023,15:00,1,0,0,0,0,0
13.10.2023,16:00,1,0,0,0,0,0
13.10.2023,17:00,1,0,0,0,0,0
13.10.2023,18:00,1,0,0,0,0,0
13.10.2023,19:00,1,0,1,0,0,0
13.10.2023,20:00,1,1,1,0,0,0
13.10.2023,21:00,1,1,0,0,1,0
14.10.2023,9:00,1,1,0,0,1,0
14.10.2023,10:00,1,1,1,0,0,0
14.10.2023,11:00,1,1,0,0,1,0
14.10.2023,12:00,1,0,0,0,0,1
14.10.2023,13:00,1,0,1,0,0,1
14.10.2023,14:00,1,0,0,0,1,1
14.10.2023,15:00,1,0,0,0,0,1
14.10.2023,16:00,1,1,0,0,0,1
14.10.2023,17:00,1,1,0,0,0,0
14.10.2023,18:00,1,1,1,0,0,0
14.10.2023,19:00,1,1,0,0,1,0
14.10.2023,20:00,1,1,0,0,0,0
14.10.2023,21:00,1,1,0,0,0,0
15.10.2023,9:00,1,1,1,0,0,0
15.10.2023,10:00,1,1,0,1,1,0
15.10.2023,11:00,1,1,0,1,0,0
15.10.2023,12:00,1,1,1,0,0,0
15.10.2023,13:00,1,1,1,0,1,0
15.10.2023,14:00,1,0,0,0,1,0
15.10.2023,15:00,1,0,0,0,0,0
15.10.2023,16:00,1,0,0,0,0,0
15.10.2023,17:00,1,1,0,0,0,0
15.10.2023,18:00,1,1,0,0,0,1
15.10.2023,19:00,1,1,1,0,0,1
15.10.2023,20:00,1,1,1,0,1,1
15.10.2023,21:00,1,1,0,0,1,1
